term,estimate,std.error,statistic,p.value,conf.low,conf.high
"intention_4cat2+ years, intends",2.01,0.19488160167141957,3.5813150716168023,3e-4,1.365,2.935
intention_4cat1–2 years,4.32,0.1682637304995088,8.696319780731544,0,3.111,6.021
intention_4cat< 1 year,26.918,0.19390105987788864,16.981855972245075,0,18.526,39.645
age,0.964,0.012135033490664285,-3.0546588440363482,0.0023,0.941,0.987
sexWoman,1.106,0.13815802277300337,0.7297380764324611,0.4656,0.844,1.452
srh,1.089,0.0688814697630345,1.2402905968020617,0.2149,0.952,1.247
disp_ink_ke,1,1.9706554952667327e-5,1.808013891357827,0.0706,1,1
civil_fCohabiting,1.427,0.16174513483125452,2.199417980452394,0.0278,1.037,1.957
civil_fSingle,0.777,0.2215832118597984,-1.1404206307379448,0.2541,0.498,1.189
civil_fWidowed,1.581,0.24071679680400504,1.9030104343939724,0.057,0.977,2.516
syss_fRetired,1.154,0.19191406541987377,0.7449506336472932,0.4563,0.792,1.681
syss_fOther,1.412,0.21301920054750678,1.6192560946474388,0.1054,0.928,2.14
