term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
Intention: < 1 year,5.766,0.19282784526733232,9.086159446844041,0,3.97,8.46,M1
Age (per year),0.962,0.012797449032145532,-3.006459854937186,0.0026,0.938,0.987,M1
Sex: Woman,1.264,0.19139485385229418,1.2226960192626752,0.2214,0.869,1.841,M1
Self-rated health (1–5),1.141,0.09639557270260088,1.3666996921525183,0.1717,0.944,1.379,M1
Intention: < 1 year,5.855,0.19549585115949283,9.039776780719388,0,4.011,8.637,M2
Age (per year),0.959,0.013115933119966115,-3.1766693054586472,0.0015,0.935,0.984,M2
Sex: Woman,1.309,0.19503992650924165,1.3807432600052774,0.1674,0.894,1.921,M2
Self-rated health (1–5),1.124,0.09891014657466732,1.181601755250119,0.2374,0.926,1.365,M2
Housing suitability,1.209,0.1735481171524013,1.0915097819041653,0.275,0.863,1.705,M2
Home satisfaction,0.939,0.1132570262087222,-0.5573741962233716,0.5773,0.75,1.171,M2
Neighbourhood cohesion,1.232,0.2002811384946512,1.0414424274105032,0.2977,0.833,1.829,M2
Intention: < 1 year,5.667,0.19725417879524723,8.793926492187367,0,3.869,8.389,M3
Age (per year),0.959,0.013248838949590634,-3.163505758131873,0.0016,0.934,0.984,M3
Sex: Woman,1.326,0.19813000428712305,1.4239600034760485,0.1545,0.9,1.958,M3
Self-rated health (1–5),1.102,0.10451723916047154,0.9274737020017989,0.3537,0.898,1.353,M3
Any obstacle (VAR30),0.658,0.3662455385082777,-1.141077991287001,0.2538,0.317,1.341,M3
Obstacle: Financial,1.088,0.3695201493651379,0.2273120327306787,0.8202,0.527,2.251,M3
Obstacle: Limited supply,0.869,0.3728310991092799,-0.3776252670179856,0.7057,0.419,1.813,M3
Obstacle: No energy,0.616,0.5369465236639555,-0.9029635148920081,0.3665,0.204,1.703,M3
Obstacle: Own health,1.963,0.6114523418317317,1.1028892480197698,0.2701,0.576,6.478,M3
Obstacle: Partner health,1.612,0.6245890590261868,0.7641727314505785,0.4448,0.46,5.486,M3
Obstacle: Dependents,0.165,0.8252529657845821,-2.183404458274484,0.029,0.024,0.693,M3
Obstacle: Bulky goods,0.438,0.762007014871818,-1.0844081045955491,0.2782,0.08,1.694,M3
Intention: < 1 year,5.687,0.19933765361672187,8.719597679624583,0,3.867,8.456,M4
Age (per year),0.957,0.013485111764273411,-3.237152729705228,0.0012,0.932,0.983,M4
Sex: Woman,1.349,0.2008197739078146,1.4922769669738096,0.1356,0.911,2.004,M4
Self-rated health (1–5),1.099,0.10651398818977874,0.8877291463517094,0.3747,0.892,1.355,M4
Housing suitability,1.166,0.1790846532847267,0.8589082914931871,0.3904,0.824,1.664,M4
Home satisfaction,0.922,0.11716464096726453,-0.6942275204532489,0.4875,0.731,1.159,M4
Neighbourhood cohesion,1.175,0.2044104326124207,0.789515527052976,0.4298,0.788,1.759,M4
Any obstacle (VAR30),0.647,0.36958013923279803,-1.1775786599521854,0.239,0.31,1.326,M4
Obstacle: Financial,1.112,0.37107675590276545,0.2857002090921712,0.7751,0.537,2.308,M4
Obstacle: Limited supply,0.904,0.38059766353337,-0.26557040783396946,0.7906,0.429,1.916,M4
Obstacle: No energy,0.63,0.5341767402628829,-0.8663369709856517,0.3863,0.209,1.732,M4
Obstacle: Own health,2.042,0.6109064261271486,1.1684146239042836,0.2426,0.599,6.729,M4
Obstacle: Partner health,1.593,0.6271947941164997,0.7425494016462185,0.4578,0.451,5.44,M4
Obstacle: Dependents,0.169,0.825359147700492,-2.150588406252059,0.0315,0.024,0.713,M4
Obstacle: Bulky goods,0.41,0.7700682629477622,-1.1563693416756329,0.2475,0.074,1.614,M4
