term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),2.615,0.6926530541439386,1.3875788745699842,0.1653,0.673,10.185
age,0.989,0.009658910398566025,-1.1099914345653412,0.267,0.971,1.008
sexWoman,1.012,0.10882756668215995,0.11255014211657885,0.9104,0.818,1.253
srh,1.096,0.05525149449887295,1.6626958161466066,0.0964,0.984,1.222
disp_ink_ke,1,2.2806931789246572e-5,2.2506749692092383,0.0244,1,1
civil_fCohabiting,1.086,0.13611496099862425,0.6076253808683303,0.5434,0.834,1.422
civil_fSingle,0.979,0.16758245723024975,-0.12572205234690453,0.9,0.708,1.366
civil_fWidowed,1.338,0.21692367817495106,1.3423333353305975,0.1795,0.883,2.073
syss_fRetired,1.213,0.15355689717498022,1.2562135754111958,0.209,0.898,1.64
syss_fOther,1.465,0.18329076303192826,2.084577116752185,0.0371,1.027,2.107
